Date,Fridge,AC,Voltage,Kitchen Appliances,Other Appliances,Sub_metering_3,month,year,Total_Consumption,day,Washing Machine,kap_zscore,fridge_zscore,ac_zscore,oap_zscore,wm_zscore
2021-01-18,1881.098000000001,0.0,350836.3699999995,5925.902000000023,295.0,12981.0,1,2020,8.7,18,617.0,,,,,-5.268337759350678
2021-01-19,2433.507999999996,0.0,349953.28,7653.092000000006,653.0,19311.0,1,2020,12.8,19,2044.0,,,,,0.36812773178069963
2021-01-20,2351.728000000001,0.0,349575.0299999998,7455.672000000011,3341.0,14563.0,1,2020,15.5,20,2317.0,,,,,1.1592381009861426
2021-01-21,2137.855999999999,0.0,349849.80000000016,6735.343999999996,449.0,16451.0,1,2020,10.2,21,894.0,,,,,-1.026714326957477
2021-01-22,1790.626000000001,0.0,348264.2500000005,5673.173999999988,352.0,14512.0,1,2020,8.5,22,699.0,,,,,-1.7071622087001905
2021-01-23,2608.51,0.0,346552.0199999996,8421.889999999967,4086.0,16021.0,1,2020,18.3,23,3154.0,,,,,2.5661722034317265
2021-01-24,2269.420000000005,0.0,348114.4899999999,7241.979999999996,2760.0,11046.0,1,2020,15.8,24,3496.0,,,,,1.717550241546853
2021-01-25,1930.5099999999984,0.0,349774.0000000006,6061.4900000000325,455.0,16136.0,1,2020,9.8,25,1368.0,,,,,-0.8682805171500939
2021-01-26,2067.564,0.0,350408.85000000003,6433.436000000023,395.0,16243.0,1,2020,9.4,26,526.0,,,,,-2.3007126269797795
2021-01-27,2760.902000000001,0.0,348459.99000000046,8744.898000000005,6403.0,18154.0,1,2020,20.0,27,2044.0,,,,,0.1978965873744266
2021-01-28,2110.233999999999,0.0,350278.6100000004,6620.966000000008,504.0,14987.0,1,2020,11.3,28,2032.0,,,,,1.1584310319921158
2021-01-29,2092.99,0.0,350831.24000000005,6516.209999999996,851.0,18061.0,1,2020,10.9,29,1488.0,,,,,-0.06453599932132625
2021-01-30,2842.7280000000005,0.0,348594.3300000002,9119.671999999991,7544.0,17891.0,1,2020,22.7,30,3240.0,,,,,5.342202404133308
2021-01-31,1799.196000000002,0.0,350499.79999999946,5692.003999999984,1380.0,12569.0,1,2020,10.6,31,1715.0,,,,,-0.7352536507776624
2021-02-01,1308.8359999999998,0.0,352090.4599999997,4179.163999999986,298.0,6424.0,2,2020,6.6,1,801.0,,,,,-1.7310767040254842
2021-02-02,2157.432000000001,0.0,350399.25999999995,6696.167999999974,382.0,21536.0,2,2020,9.2,2,0.0,0.5591279294397331,0.6412537301735566,,-0.6148188565976604,-1.9070748840871323
2021-02-03,766.905999999999,0.0,348122.9600000004,2437.894000000021,424.0,3605.0,2,2020,3.6,3,0.0,-1.992392238168647,-1.9685440547771398,,-0.5940445361052583,-1.1969799335451607
2021-02-04,1648.6220000000014,0.0,349593.86999999965,5167.577999999981,483.0,13074.0,2,2020,7.3,4,0.0,-0.3113973315639853,-0.27132836504204555,,-0.5643249887718989,-0.7071067811865498
2021-02-05,2187.9099999999944,0.0,346159.0799999996,7060.489999999985,7966.0,14454.0,2,2020,19.1,5,1858.0,0.7272565037833403,0.6532624573629517,,3.378152998391367,inf
2021-02-06,980.8980000000006,0.0,346084.5000000007,3217.901999999993,656.0,8454.0,2,2020,4.9,6,0.0,-1.4505601260529184,-1.4900434343888722,,-0.5194419585162647,-0.7071067811865479
2021-02-07,1140.9280000000012,0.0,345067.37000000046,3891.87199999999,932.0,6337.0,2,2020,6.8,7,822.0,-1.0303899113306472,-1.1635530965458176,,-0.340983039418358,0.2313890866315506
2021-02-08,549.4819999999999,0.0,346892.1899999997,1899.7179999999796,536.0,4191.0,2,2020,3.0,8,0.0,-2.1042669074823372,-2.1505603985610504,,-0.5363541218570911,-1.1751284888463922
2021-02-09,1392.492000000001,0.0,346958.94999999984,4495.308000000014,500.0,11785.0,2,2020,7.3,9,929.0,-0.6109835591953349,-0.6353105761808527,,-0.545765641512821,1.6903465024714959
2021-02-10,1923.2539999999967,0.0,346612.97999999975,6118.1459999999925,741.0,13532.0,2,2020,12.8,10,3972.0,0.18462629234155925,0.177368074484082,,-0.43192697943599045,8.164266238790747
2021-02-11,1191.0819999999997,0.0,353933.16000000015,3736.318000000014,574.0,5784.0,2,2020,5.5,11,0.0,-1.1256339544494334,-1.0866903684162537,,-0.5018022311282738,-0.9630249826959499
2021-02-13,2351.555999999996,0.0,349760.2899999998,7359.844000000042,5292.0,18710.0,2,2020,16.8,13,1838.0,0.8475653918113983,0.8927463306999865,,1.6994441774912539,0.12045180869059724
2021-02-14,1686.6980000000008,0.0,349883.5400000005,5264.701999999988,318.0,13190.0,2,2020,8.5,14,1223.0,-0.32717290057743276,-0.27581438563597543,,-0.6633738130004389,-0.4397037763278543
2021-02-15,2097.132000000001,0.0,350563.3599999996,6603.8679999999895,332.0,16065.0,2,2020,12.5,15,3468.0,0.3569574451440123,0.37921438826735043,,-0.6622596825515303,3.2040772860146003
2021-02-16,1797.755999999996,0.0,351005.41999999987,5615.843999999997,317.0,12820.0,2,2020,9.7,16,1945.0,-0.20876372865785944,-0.15604606649586875,,-0.6284523865381544,-0.24422165574593402
2021-02-17,2054.560000000002,0.0,348979.42000000033,6500.840000000003,6636.0,10101.0,2,2020,17.5,17,2294.0,0.3285705726854949,0.33169166871773204,,2.2224178344658303,0.08762921213693371
2021-02-18,1761.1560000000025,0.0,350767.000000001,5493.844000000006,385.0,14884.0,2,2020,8.6,18,965.0,-0.26577952388662,-0.2104285399913005,,-0.6156128941274475,-2.462160361144994
2021-02-19,1953.5720000000008,0.0,348058.65999999974,6188.428000000009,397.0,14543.0,2,2020,10.7,19,2124.0,0.1458999245199957,0.14600268252281137,,-0.6123477263024816,0.6920526761465149
2021-02-20,1983.7280000000017,0.0,348176.10999999987,6289.872000000004,382.0,14470.0,2,2020,12.4,20,3748.0,0.2370507824215809,0.2338005237371864,,-0.6138291666387319,3.308385065068085
2021-02-21,2740.3140000000035,0.0,346500.5400000001,8834.886000000013,8142.0,17083.0,2,2020,25.6,21,5905.0,1.7862161767684583,1.6755429365304255,,2.660617268178768,3.176719093159929
2021-02-22,1474.0359999999976,0.0,346434.4699999996,4739.56399999995,2167.0,10159.0,2,2020,9.8,22,1393.0,-0.6744165653268247,-0.7030299768861686,,0.05781662204253036,-1.6353598973804937
2021-02-23,1461.280000000002,0.0,348457.93999999994,4665.320000000009,3001.0,8806.0,2,2020,9.1,23,0.0,-0.6941633804208436,-0.7015692554248952,,0.3527057859208042,-1.9982553074285052
2021-02-24,1914.2780000000007,0.0,347710.7500000008,6038.9220000000205,1682.0,14315.0,2,2020,11.9,24,2260.0,0.16141138846199998,0.17964801125272017,,-0.13677431599348305,-0.06851011733342703
2021-02-25,1880.2040000000004,0.0,347015.76000000024,5904.195999999993,474.0,15120.0,2,2020,8.3,25,0.0,0.10739977203621283,0.14053587378920684,,-0.5871552940955602,-1.3080057854069747
2021-02-26,2120.1559999999977,0.0,346212.9100000007,6720.443999999996,2454.0,14821.0,2,2020,12.4,26,1146.0,0.5941743536448775,0.5880647713011905,,0.17322003088156662,0.36857158771582027
2021-02-27,1765.056000000002,0.0,347824.0200000004,5652.144000000004,441.0,14358.0,2,2020,11.6,27,3743.0,-0.044320596173929964,-0.07262643190955215,,-0.6304569954614104,2.8262120934943136
2021-02-28,711.6659999999996,0.0,349297.1499999999,2256.5340000000347,487.0,2952.0,2,2020,3.5,28,0.0,-2.1084092464240816,-2.073490356155838,,-0.5605203941556547,-1.0407364696731334
2021-03-01,2083.453999999999,2874.1500000000083,350992.12000000034,6620.146000000034,4880.249999999964,10074.0,3,2020,60.900000000000006,1,3842.0,0.6732829462965071,0.6636537343168226,inf,1.2162108329134254,1.4128386069176897
2021-03-02,2903.013999999996,2755.3799999999987,349038.8299999998,9149.786000000026,8457.819999999978,21130.0,3,2020,76.5,2,2234.0,2.160375563297955,2.1804782674116767,5.154957246826689,2.5570307092956788,-0.16459216852921688
2021-03-03,935.834,1814.0099999999936,347344.47000000003,2999.765999999975,450.3900000000313,7221.0,3,2020,18.6,3,0.0,-1.4608574660437172,-1.4506111072911536,2.3157836443165447,-0.6117252275996508,-1.2855874083640897
2021-03-04,1805.2780000000016,3099.750000000004,350279.8999999992,5640.921999999988,676.0500000000065,17694.0,3,2020,39.0,4,1778.0,0.14095653162300398,0.19161872687423467,3.7555501895488335,-0.5101952737013464,-0.15699569733478508
2021-03-05,1411.3020000000008,2297.8800000000065,341549.62999999966,4577.497999999979,533.3200000000161,11825.0,3,2020,29.4,5,980.0,-0.4961607417027823,-0.5420948767548559,2.1302315567390844,-0.5713906638573389,-0.3707594848232464
2021-03-06,1394.186000000002,2460.5400000000063,345952.0899999998,4587.813999999999,441.4599999999955,12304.0,3,2020,35.400000000000006,6,2916.0,-0.452136782054181,-0.5317305231405017,2.083998274199218,-0.6093750731700146,2.7459481544156197
2021-03-07,1120.073999999998,4723.590000000003,347524.2400000004,3806.526000000016,949.8099999999812,6151.0,3,2020,31.8,7,0.0,-0.9900957892707918,-1.1114035308880583,4.061895967112357,-0.4138970121605428,-2.3807692497030786
2021-03-08,615.2120000000015,2656.7400000000075,347762.45000000065,2053.187999999985,574.860000000007,4096.0,3,2020,17.700000000000003,8,0.0,-1.992745924520097,-1.990260637488166,1.5559918338067513,-0.5660198625647669,-1.071869785571571
2021-03-09,1346.4140000000004,2528.9400000000014,346368.4899999997,4375.385999999991,509.2600000000039,9747.0,3,2020,29.1,9,940.0,-0.48823708134489646,-0.5184181323278855,1.3426244611613791,-0.5456454073202645,-0.023279235594618863
2021-03-10,1830.683999999999,3042.210000000005,348383.29000000004,5943.116000000036,2583.9899999999543,7738.0,3,2020,55.2,10,5000.0,0.39175858309531647,0.3211739821313649,1.6311282272981675,0.3374664936937212,10.576512067535043
2021-03-11,1293.2979999999995,2643.9600000000046,351761.0900000003,4120.502000000005,1121.2399999999889,6529.0,3,2020,30.6,11,1021.0,-0.7142153307226955,-0.6963209375877912,1.2189665684264128,-0.30682800427785406,-0.4420027591906626
2021-03-13,2383.0099999999984,3980.430000000007,348475.5899999995,7560.190000000008,5528.369999999988,17973.0,3,2020,66.9,13,2848.0,1.344153719338171,1.3325347320167342,2.0815370008924488,1.5618694795772912,0.27843752040858943
2021-03-14,1566.7140000000006,3009.48,348460.2899999999,5049.886000000009,909.919999999991,7101.0,3,2020,42.0,14,3464.0,-0.28399960176809097,-0.3175868276581201,1.2322327749910402,-0.4629379825497643,0.3121748967099134
2021-03-15,1791.849999999996,2464.679999999996,348905.87999999983,5664.949999999993,400.520000000015,15053.0,3,2020,33.3,15,778.0,0.11433391836720753,0.1352689016188856,0.7915617339568168,-0.6764070860028241,-1.6062720770692762
2021-03-16,1542.6500000000008,2516.0399999999945,347817.71000000025,4881.150000000008,460.1599999999981,10083.0,3,2020,28.200000000000003,16,0.0,-0.41345045315906553,-0.38623319248793575,0.7732546178377051,-0.6483688555012364,-2.057108370953924
2021-03-17,2009.130000000001,2786.220000000001,347963.52000000054,6382.870000000023,5885.779999999972,13105.0,3,2020,54.6,17,1136.0,0.5887096013864365,0.5873698291684187,0.9005428510467839,1.7016326104387989,-0.18733686725977877
2021-03-18,1562.6820000000014,2493.21,347763.2600000001,4985.518000000004,611.5899999999983,10845.0,3,2020,32.400000000000006,18,1147.0,-0.324766080200775,-0.3212609535344094,0.6466933899381772,-0.5897522413066245,1.0733461209087394
2021-03-19,1663.3840000000014,2842.1700000000005,347651.2300000004,5257.216000000011,637.2299999999886,12591.0,3,2020,31.200000000000003,19,0.0,-0.11895310399021414,-0.08724375477758214,0.8334598048895628,-0.5845310701696983,-1.4141643179425352
2021-03-20,131.73199999999977,348.42,56252.86999999999,417.8679999999984,1.9800000000018367,969.0,3,2020,2.7,20,0.0,-3.204241828100145,-3.137505387889344,-0.9194128973449858,-0.8514676498282577,-1.4141643179425352
2021-03-21,917.282000000001,1303.0499999999977,149303.06000000014,2973.9179999999983,2835.750000000002,3680.0,3,2020,29.1,21,1670.0,-1.2590905578937805,-1.2657159840392564,-0.28007337539264404,0.42513780965068043,2.381476456603001
2021-03-22,1618.5900000000015,2573.339999999997,347556.65999999945,5130.809999999954,535.2600000000475,13859.0,3,2020,33.0,22,1142.0,-0.00752503260210067,0.014060497239991664,0.5745206429240669,-0.6093183469296324,0.7435206633314846
2021-03-23,1822.162,2799.51,347279.47000000015,5911.238000000019,1175.08999999998,13107.0,3,2020,43.8,23,2892.0,0.4394752209042833,0.38422210444335114,0.6880623719200804,-0.33340565249041293,2.8045386830486003
2021-03-24,1994.752000000004,3143.3700000000067,346643.52999999933,6360.047999999959,5826.830000000027,12817.0,3,2020,55.2,24,1075.0,0.6950002882589721,0.6943549180132103,0.8888731731267965,1.6913332212673096,-1.1274510365027015
2021-03-25,1679.8840000000014,2801.370000000008,348861.8199999999,5294.315999999964,624.4300000000276,13797.0,3,2020,31.200000000000003,25,0.0,0.16489855548961863,0.20442948674661915,0.574180859768052,-0.6013224857272688,-2.024501375828484
2021-03-26,1651.2839999999976,3088.2300000000014,347765.80000000005,5258.916000000009,723.5699999999943,12547.0,3,2020,35.400000000000006,26,1078.0,0.13317376805653425,0.139049030457143,0.7473985787189174,-0.5269146716038874,-0.20471364190411578
2021-03-27,1847.9700000000007,2926.379999999998,346194.1,5918.630000000032,3040.019999999972,12483.0,3,2020,44.400000000000006,27,1067.0,0.510248079938918,0.4901247792939135,0.5635772115303928,0.6045058353629326,0.688384346020822
2021-03-28,1798.213999999999,3906.420000000002,347577.9200000004,5868.186000000018,7944.179999999986,7118.0,3,2020,61.8,28,1083.0,0.48351727008781475,0.4033616763911972,1.3569935173079823,2.88674557176705,0.7278462410652493
2021-03-29,1622.7379999999994,3106.23,347791.0800000003,5183.262000000023,587.7699999999786,15420.0,3,2020,31.5,29,0.0,0.08022163290647344,0.08431032335686851,0.5803763517556658,-0.6178374476618512,-160.9980068502106
2021-03-30,1906.4540000000009,4210.770000000021,347161.84999999974,6210.145999999982,612.6299999999937,13765.0,3,2020,44.1,30,1760.0,0.7286161161177782,0.6519845732942817,1.6199836408132868,-0.5780149320216846,2.0586608274882736
2021-03-31,1923.8019999999972,3023.670000000007,345879.6099999995,6230.797999999995,6354.730000000003,12041.0,3,2020,55.8,31,1067.0,0.7253627808892358,0.6727390067903994,0.33775675193066923,1.8241168188229373,0.16462914660130434
2021-04-01,1604.1320000000032,3910.100000000001,353806.7300000003,5019.06799999997,266.700000000028,10812.0,4,2020,32.400000000000006,1,0.0,-0.07960215385756138,-0.003194349243857024,1.3887398055717464,-0.7737416624819522,-1.3017372951686244
2021-04-02,2316.2699999999995,3546.199999999993,348625.1400000004,7250.929999999974,512.6000000000313,23743.0,4,2020,44.1,2,1074.0,1.3603788902121894,1.4404055473123543,0.8606381774396342,-0.6204499570423075,0.18188405786756506
2021-04-03,682.8799999999989,3148.849999999988,349908.9000000004,2207.5200000000063,460.7500000000073,2928.0,4,2020,19.5,3,0.0,-1.9401211210446792,-1.9177250818613647,0.3389729590086908,-0.6064457957350542,-1.4141908867851303
2021-04-04,1690.3880000000013,5974.400000000017,348116.29999999976,5402.611999999979,835.6000000000022,12687.0,4,2020,45.0,4,1097.0,0.2660052201193233,0.26997192138561743,3.800643192411411,-0.4339634604701855,1.4596422103264266
2021-04-05,1516.9599999999964,3855.9999999999936,339893.3200000005,4966.639999999989,1060.4000000000196,12007.0,4,2020,34.2,5,0.0,-0.019723812204114684,-0.08637742914466073,0.8689872106062804,-0.3332298401233776,-1.4139755318641827
2021-04-06,1420.5540000000017,4631.099999999999,346002.67999999993,4632.246000000027,421.0999999999749,12517.0,4,2020,38.400000000000006,6,1695.0,-0.2523438611956041,-0.2972911960264542,1.6068071269717734,-0.6385909762373575,2.570594205443903
2021-04-07,1538.0880000000038,7003.650000000034,346081.63000000035,5030.912000000026,767.3499999999349,6597.0,4,2020,45.6,7,860.0,0.013612209931356298,-0.051254100539208404,3.831821846893501,-0.4778759908437473,-0.10067836534825321
2021-04-08,543.3560000000002,4485.799999999997,347613.05000000045,1864.6439999999748,506.2000000000289,4116.0,4,2020,22.200000000000003,8,0.0,-2.1587348446808683,-2.2134451906061954,1.067935494888494,-0.595215782910404,-1.2307216114006516
2021-04-09,1743.8399999999997,5450.600000000006,347186.7999999995,5705.959999999987,694.6000000000058,13241.0,4,2020,48.6,9,2605.0,0.4437247922128589,0.36020846358257946,1.7985375998898463,-0.5067464247769372,2.533696937756332
2021-04-10,1775.9600000000014,4689.600000000011,346494.90000000014,5709.040000000001,716.3999999999869,8252.0,4,2020,43.8,10,1709.0,0.4162339266666738,0.4010595412941174,1.0451281266978885,-0.5003159956151403,0.511187437904113
2021-04-11,2555.146000000001,6310.949999999999,350139.2099999999,8239.254000000012,11165.64999999998,10286.0,4,2020,102.9,11,6029.0,2.1268516371679995,2.063796569166693,2.247088568848302,4.3572943720834205,4.248514116913016
2021-04-13,1512.7039999999993,4278.500000000017,348098.58000000054,4812.096000000001,599.6999999999844,13033.0,4,2020,36.900000000000006,13,1097.0,-0.25800275152474395,-0.23050979291363538,0.5332036004444113,-0.5360668958289161,-1.262733301689011
2021-04-14,1660.363999999999,4479.950000000013,347580.8800000007,5319.235999999994,5908.449999999993,9194.0,4,2020,55.5,14,1132.0,0.1264884703638958,0.12976476269603454,0.670261473847908,1.4947893606701148,-0.8259743667122073
2021-04-15,1872.178000000003,4183.40000000001,346827.149999999,5940.4220000000005,677.9999999999854,15667.0,4,2020,45.6,15,2526.0,0.5299482813397525,0.5665967348981236,0.418264462771852,-0.5043756021863854,-0.09783771819516468
2021-04-16,1562.0620000000004,4259.500000000006,348468.23999999976,4990.937999999975,550.5000000000164,12623.0,4,2020,42.6,16,2837.0,-0.1016091845978808,-0.08793863387959897,0.4358414438515221,-0.5548722235337322,1.8811766975892008
2021-04-17,1557.7119999999993,3746.549999999994,347479.44999999955,4991.487999999963,3151.250000000044,12571.0,4,2020,42.0,17,553.0,-0.10368788145172476,-0.0983854624031508,0.020458833148601745,0.38674110716616406,-2.1742832846081455
2021-04-18,1476.1060000000002,3705.8000000000034,346580.9700000002,4688.293999999994,625.8000000000029,12550.0,4,2020,34.8,18,1104.0,-0.2756774141116161,-0.2403125423999606,-0.033259565261979845,-0.5113829781963629,-0.8582286222983909
2021-04-19,1708.5940000000005,4160.100000000003,347414.1399999995,5438.006000000003,4263.299999999997,13474.0,4,2020,50.400000000000006,19,1230.0,0.2292692145354126,0.25703308666725105,0.2774157059404949,0.8485348779704907,-0.2753885593409537
2021-04-20,1833.627999999999,4397.550000000006,346719.2399999995,5843.37199999998,737.4500000000135,16668.0,4,2020,42.6,20,1388.0,0.4942285964925342,0.5175919243148108,0.42623065764319285,-0.5116427918422609,1.4479556262845856
2021-04-21,1579.914000000001,3960.15000000001,348379.25999999937,4980.885999999992,679.0499999999938,12902.0,4,2020,33.599999999999994,21,0.0,-0.24208022844171914,-0.16700315938624907,-0.008572482050824332,-0.5456950188182168,-10.678134302526667
2021-04-22,1460.9040000000014,4666.250000000004,346674.2699999995,4682.09599999999,628.7500000000036,12492.0,4,2020,37.5,22,1062.0,-0.5729084256254586,-0.5625400225524662,0.5837009258551342,-0.5357694870397558,0.30516436569962285
2021-04-23,1180.5359999999976,4429.100000000015,347922.59999999986,3766.2639999999647,624.100000000024,10981.0,4,2020,30.0,23,0.0,-1.3430866739640075,-1.3062906552585345,0.2981162763153423,-0.5390080188900608,-1.3780878997892225
2021-04-24,1518.417999999997,7670.950000000012,347783.2099999999,5084.581999999999,1481.0499999999884,8223.0,4,2020,60.6,24,4445.0,-0.14717968079845517,-0.3239077482242776,3.5623341761017575,-0.21221821324687165,8.17167751930558
2021-04-25,1542.7420000000038,5974.750000000016,346552.67000000004,4968.25799999998,2314.250000000002,7595.0,4,2020,44.400000000000006,25,0.0,-0.2121172931864184,-0.2203840118811977,1.4362541586406758,0.15648172567190818,-0.9685197390694701
2021-04-26,1082.7159999999983,4160.499999999996,347373.1900000006,3480.8840000000155,437.8999999999887,7635.0,4,2020,30.6,26,1038.0,-1.4667961157261626,-1.44454565425839,-0.24403467362353223,-0.5891584130507248,-0.21173433650377843
2021-04-27,1250.9399999999998,4056.999999999999,348589.3900000004,3955.85999999996,536.2000000000426,8539.0,4,2020,29.4,27,0.0,-0.979484480710598,-0.9115034657932051,-0.37451398747820175,-0.5464575106977645,-0.9626245930766497
2021-04-28,867.8580000000019,4567.100000000003,349228.5500000002,2805.742000000004,559.2999999999938,6035.0,4,2020,26.4,28,0.0,-1.8565040915323632,-1.8463255507085083,0.05016881505007779,-0.5046149685201154,-0.7071067811865483
2021-04-29,1103.7239999999983,4342.850000000003,348882.0099999998,3498.675999999968,642.7500000000291,8102.0,4,2020,28.8,29,12.0,-1.1549261846966443,-1.103531033977464,-0.17838748344873856,-0.4178398840198545,-0.6825828465789224
2021-04-30,1118.6279999999997,5209.849999999995,348217.44999999984,3666.3719999999694,610.1500000000378,6969.0,4,2020,39.900000000000006,30,2695.0,-0.9605787837657793,-1.0051744882253248,0.6071292778773791,-0.4326385107341888,475.7060870470063
2021-05-01,2219.780000000003,3723.4,352110.29000000044,6920.020000000008,251.79999999999015,16468.0,5,2020,44.7,1,1785.0,1.594022944413639,1.7279676768921721,-0.8456520255468262,-0.5851488282829854,0.6963201090601414
2021-05-02,2098.892,3574.45,348395.4199999999,6649.7079999999805,474.9500000000189,18008.0,5,2020,41.1,2,902.0,1.3385888457901929,1.3674384225042284,-1.0379797045959298,-0.43293683695667173,-0.5343829265646763
2021-05-03,1133.726,3385.4000000000005,350620.2900000003,3569.67400000003,303.1999999999698,5918.0,5,2020,28.5,3,1108.0,-0.980609586099647,-0.9110616389797025,-1.201052061699072,-0.5153347605488148,-0.9371368996372944
2021-05-04,1118.8200000000008,4135.5,350863.4099999995,3588.1799999999994,1402.5,5503.0,5,2020,36.0,4,1755.0,-0.9113222175469247,-0.8948798726319229,-0.46430788879759377,-0.009301260032743319,1.2990783474295173
2021-05-05,1805.3080000000016,3230.0000000000045,339992.0699999998,5920.491999999989,2175.200000000006,12183.0,5,2020,48.3,5,2969.0,0.8616211658620868,0.7475233611518783,-1.4144901805751837,0.33037332985789064,4.71633172996268
2021-05-06,2009.644000000001,7349.749999999989,347184.55000000034,6767.356000000006,1241.2500000000036,12223.0,5,2020,84.9,6,10932.0,1.5096080874227873,1.2447964319894318,2.7830127666931705,-0.11804117743268853,11.651320351950549
2021-05-07,1113.99,5846.150000000003,347302.8900000001,3683.210000000008,815.6499999999905,6913.0,5,2020,36.900000000000006,7,841.0,-0.9410452618741066,-1.0117142166325332,1.0540958993119285,-0.31592243430451006,-1.0755346417551899
2021-05-08,533.4760000000003,4341.999999999999,348277.5199999998,1820.3239999999744,504.2000000000262,4013.0,5,2020,21.6,8,0.0,-2.3064110975075507,-2.36727403365426,-0.3291689714873767,-0.46584845353648485,-1.1314386374880498
2021-05-09,1323.0180000000028,4675.250000000017,348682.4699999995,4384.781999999995,2707.9499999999844,7471.0,5,2020,44.1,9,1609.0,-0.2737619109478823,-0.3578207632757775,0.0471082686118089,0.5498378897432936,-0.46613860906921556
2021-05-10,1854.6240000000037,5316.05000000001,345483.35999999935,5953.176000000004,2976.149999999985,12037.0,5,2020,48.3,10,0.0,0.8170839893378397,0.822383453663648,0.6515035404080103,0.6385987149874159,-1.242840704707572
2021-05-11,1736.0880000000009,4512.450000000008,351036.05000000034,5540.711999999991,810.75,12610.0,5,2020,37.8,11,0.0,0.499725222274307,0.5269233017239979,-0.1100358018540016,-0.3873091177187751,-0.7071067811865535
2021-05-13,1552.4960000000003,3847.099999999999,349618.70000000024,4891.303999999998,1486.1000000000022,10527.0,5,2020,41.7,13,2123.0,0.01965399271089774,0.09387185141730561,-0.7400345122307459,-0.08034278552040501,2.0918758722485977
2021-05-14,1722.1459999999986,3997.100000000003,348576.8100000004,5451.854,383.8999999999978,16764.0,5,2020,37.8,14,1045.0,0.5907944423071941,0.6501962305303942,-0.5387858309107054,-0.7382879108959044,0.33706644491794135
2021-05-15,1944.7720000000008,5823.599999999993,348627.9100000003,6276.62800000001,307.9999999999927,13670.0,5,2020,53.1,15,3347.0,1.2633410265969005,1.2202074197635722,1.2799038752524978,-0.7885303226945317,2.6432195150921687
2021-05-16,2100.425999999996,4109.550000000008,347002.05999999953,6761.974000000006,3967.049999999994,11888.0,5,2020,60.900000000000006,16,3361.0,1.6085758122303835,1.5768654615058504,-0.4489329029805537,2.837879995523752,1.2646866503539955
2021-05-17,1628.182,3684.400000000005,347558.7899999997,5173.217999999998,400.1999999999971,15344.0,5,2020,35.7,17,1014.0,0.27143739354070195,0.3168726288789935,-0.8557962389181777,-0.7692919201683311,-1.442673938217652
2021-05-18,1421.1840000000025,3741.3000000000025,347790.06000000035,4509.21600000002,328.2999999999738,11677.0,5,2020,30.0,18,0.0,-0.2645559355467207,-0.21547760816613107,-0.774391470094892,-0.8268862188978723,-2.3334210561798083
2021-05-19,1426.752000000002,3781.350000000002,347905.50000000047,4587.047999999983,682.8500000000131,9864.0,5,2020,37.8,19,2122.0,-0.18931672633768737,-0.18966873761150413,-0.7359373426844686,-0.4427745420567594,0.4714763973313979
2021-05-20,1153.8980000000006,3478.4999999999995,349129.1299999994,3677.701999999995,389.9000000000033,10101.0,5,2020,26.1,20,0.0,-0.9126804128719869,-0.8785305692565711,-1.0290172026840576,-0.7193541590537128,-1.2062659127490825
